iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,life_expectancy
IND,Asia,India,12/31/2019,2526192,65002,49036,996,1830.568,47.103,35.533,0.722,69.66
IND,Asia,India,1/1/2020,2589682,63490,49980,944,1876.575,46.007,36.217,0.684,69.66
IND,Asia,India,1/2/2020,2647663,57981,50921,941,1918.59,42.015,36.899,0.682,69.66
IND,Asia,India,1/3/2020,2702742,55079,51797,876,1958.502,39.912,37.534,0.635,69.66
IND,Asia,India,1/4/2020,2767273,64531,52889,1092,2005.264,46.761,38.325,0.791,69.66
IND,Asia,India,1/5/2020,2836925,69652,53866,977,2055.736,50.472,39.033,0.708,69.66
IND,Asia,India,1/6/2020,2905823,68898,54849,983,2105.662,49.926,39.746,0.712,69.66
IND,Asia,India,1/7/2020,2975701,69878,55794,945,2156.298,50.636,40.43,0.685,69.66
IND,Asia,India,1/8/2020,3044940,69239,56706,912,2206.471,50.173,41.091,0.661,69.66
IND,Asia,India,1/9/2020,3106348,61408,57542,836,2250.97,44.498,41.697,0.606,69.66
IND,Asia,India,1/10/2020,3167323,60975,58390,848,2295.154,44.185,42.311,0.614,69.66
IND,Asia,India,1/11/2020,3234474,67151,59449,1059,2343.814,48.66,43.079,0.767,69.66
IND,Asia,India,1/12/2020,3310234,75760,60472,1023,2398.713,54.898,43.82,0.741,69.66
IND,Asia,India,1/13/2020,3387500,77266,61529,1057,2454.702,55.99,44.586,0.766,69.66
IND,Asia,India,1/14/2020,3463972,76472,62550,1021,2510.117,55.414,45.326,0.74,69.66
IND,Asia,India,1/15/2020,3542733,78761,63498,948,2567.19,57.073,46.013,0.687,69.66
IND,Asia,India,1/16/2020,3621245,78512,64469,971,2624.082,56.893,46.717,0.704,69.66
IND,Asia,India,1/17/2020,3691166,69921,65228,759,2674.749,50.667,47.267,0.55,69.66
IND,Asia,India,1/18/2020,3769523,78357,66333,1105,2731.53,56.78,48.067,0.801,69.66
IND,Asia,India,1/19/2020,3853406,83883,67376,1043,2792.314,60.785,48.823,0.756,69.66
IND,Asia,India,1/20/2020,3936747,83341,68472,1096,2852.706,60.392,49.617,0.794,69.66
IND,Asia,India,1/21/2020,4023179,86432,69561,1089,2915.338,62.632,50.406,0.789,69.66
IND,Asia,India,1/22/2020,4113811,90632,70626,1065,2981.013,65.675,51.178,0.772,69.66
IND,Asia,India,1/23/2020,4204613,90802,71642,1016,3046.811,65.798,51.914,0.736,69.66
IND,Asia,India,1/24/2020,4280422,75809,72775,1133,3101.745,54.934,52.735,0.821,69.66
IND,Asia,India,1/25/2020,4370128,89706,73890,1115,3166.749,65.004,53.543,0.808,69.66
IND,Asia,India,1/26/2020,4465863,95735,75062,1172,3236.122,69.373,54.393,0.849,69.66
IND,Asia,India,1/27/2020,4562414,96551,76271,1209,3306.087,69.964,55.269,0.876,69.66
IND,Asia,India,1/28/2020,4659984,97570,77472,1201,3376.789,70.703,56.139,0.87,69.66
IND,Asia,India,1/29/2020,4754356,94372,78586,1114,3445.175,68.385,56.946,0.807,69.66
IND,Asia,India,1/30/2020,4846427,92071,79722,1136,3511.892,66.718,57.769,0.823,69.66
IND,Asia,India,1/31/2020,4930236,83809,80776,1054,3572.623,60.731,58.533,0.764,69.66
